"","D","mean.SST","sd.SST","N","se.SST","CL95.SST"
"292",30500000,23.531587485518,0.829127754295485,17,0.201093018123026,0.349822766893553
"293",30650000,23.2856367813043,0.787674145788125,17,0.191039041273683,0.332332801142632
"294",30800000,22.8560158942863,0.843590420755235,17,0.204600729972534,0.35592480602009
"295",30950000,22.5257008155105,0.986286120332717,17,0.239209520659556,0.416130491080557
"296",31100000,22.1224354746989,1.28580425038511,17,0.311853337541526,0.542502163536199
"297",31250000,21.51392943343,1.4026563990776,18,0.330609283820826,0.573297527083583
"298",31400000,20.7456220934505,1.67736957993447,18,0.395359801509231,0.685579043316691
"299",31550000,19.5981580290849,1.52970402627183,18,0.360554696728391,0.625224777791726
"300",31700000,15.9929519200978,1.13005337332378,18,0.266356134459992,0.461878479166399
"301",31850000,17.786330663016,1.09487494993404,18,0.25806450054988,0.447500258563478
"302",3.2e+07,19.209581074839,1.29133423431354,18,0.304370397953813,0.527797630023405
"303",32150000,20.7033131443762,1.38990004965752,18,0.327602583428118,0.568083717356586
"304",32300000,20.8268282603942,1.12050875758881,18,0.264106446956653,0.457977377940597
"305",32450000,21.225191082735,1.03645052736334,18,0.244293732087664,0.423620870137993
"306",32600000,21.5345610845406,1.17053803451732,18,0.275898460614657,0.478425479673679
"307",32750000,21.8227435563033,0.830740019013664,18,0.195807300282534,0.339542313329975
"308",32900000,22.0587586677071,0.632259134804901,18,0.149024907229228,0.25841866810576
"309",33050000,22.2218853594231,0.578278414559163,18,0.13630152944953,0.236355521744738
"310",33200000,22.3534343625354,0.538959270145764,19,0.123645736486833,0.213799899964107
"311",33350000,22.4603997229739,0.713568501295277,19,0.163703841391573,0.283065683522258
"312",33500000,22.5570095583359,1.128523669949,19,0.258901085931649,0.447674362622927
"313",33650000,22.6420719972447,1.07218215238891,19,0.24597545533322,0.42532423064558
"314",33800000,22.923539229104,1.37161583812552,19,0.314670254092052,0.544106661160333
"315",33950000,23.0982296377682,1.77363294873266,19,0.406899304550512,0.703582938483516
"316",34100000,23.3742835955608,2.04305521073108,19,0.468709010507946,0.810460129125004
"317",34250000,20.842361913846,1.91791865011607,19,0.440000714620416,0.760819672743012
