D,d18Oc,YEARMARKER,D_err,d18Oc_err
85050,-1.673,0,75,0.14
85200,-1.531,0,75,0.14
85350,-1.687,0,75,0.14
85500,-1.677,0,75,0.14
85650,-1.507,0,75,0.14
85800,-1.598,0,75,0.14
85950,-1.67,0,75,0.14
86100,-1.651,0,75,0.14
86250,-1.695,0,75,0.14
86400,-1.536,0,75,0.14
86550,-1.42,0,75,0.14
86700,-1.272,0,75,0.14
86850,-1.169,0,75,0.14
87000,-1.065,0,75,0.14
87150,-0.523,0,75,0.14
87300,-0.455,1,75,0.14
87450,-0.885,0,75,0.14
87600,-1.459,0,75,0.14
87750,-1.477,0,75,0.14
87900,-1.707,0,75,0.14
88050,-1.671,0,75,0.14
88200,-1.666,0,75,0.14
88350,-1.661,0,75,0.14
88500,-1.654,0,75,0.14
88650,-2.012,0,75,0.14
88800,-1.722,0,75,0.14
88950,-1.719,0,75,0.14
89100,-1.662,0,75,0.14
89250,-1.418,0,75,0.14
89400,-1.034,0,75,0.14
89550,-0.748,0,75,0.14
89700,-0.575,0,75,0.14
89850,-0.534,0,75,0.14
90000,-0.443,1,75,0.14
90150,-0.978,0,75,0.14
90300,-1.13,0,75,0.14
90450,-1.372,0,75,0.14
90600,-1.415,0,75,0.14
90750,-1.565,0,75,0.14
90900,-1.572,0,75,0.14
91050,-1.56,0,75,0.14
91200,-1.642,0,75,0.14
91350,-1.839,0,75,0.14
91500,-1.636,0,75,0.14
91650,-1.572,0,75,0.14
91800,-1.381,0,75,0.14
91950,-1.119,0,75,0.14
92100,-0.845,0,75,0.14
92200,-0.699,1,50,0.14
92300,-0.699,0,50,0.14
92400,-1.137,0,50,0.14
92500,-1.402,0,50,0.14
92600,-1.596,0,50,0.14
92700,-1.561,0,50,0.14
92800,-1.637,0,50,0.14
92900,-1.623,0,50,0.14
93000,-1.437,0,50,0.14
93100,-1.526,0,50,0.14
93200,-1.666,0,50,0.14
93300,-1.751,0,50,0.14
93400,-1.751,0,50,0.14
93500,-1.676,0,50,0.14
93600,-1.633,0,50,0.14
93700,-1.527,0,50,0.14
93800,-1.326,0,50,0.14
93900,-1.051,0,50,0.14
94000,-1.015,0,50,0.14
94100,-0.984,0,50,0.14
94200,-0.853,1,50,0.14
94300,-1.607,0,50,0.14
94400,-1.53,0,50,0.14
94500,-1.717,0,50,0.14
94600,-1.632,0,50,0.14
94700,-1.483,0,50,0.14
94800,-1.389,0,50,0.14
94900,-1.698,0,50,0.14
95000,-1.775,0,50,0.14
95100,-1.752,0,50,0.14
95200,-1.603,0,50,0.14
95300,-1.88,0,50,0.14
95400,-1.73,0,50,0.14
95500,-1.605,0,50,0.14
95600,-1.682,0,50,0.14
95700,-1.594,0,50,0.14
95800,-1.669,0,50,0.14
95900,-1.377,0,50,0.14
96000,-0.952,0,50,0.14
96100,-0.682,0,50,0.14
96200,-0.54,1,50,0.14
96300,-0.686,0,50,0.14
96400,-1.189,0,50,0.14
96500,-1.741,0,50,0.14
96600,-1.957,0,50,0.14
96700,-1.983,0,50,0.14
96800,-1.996,0,50,0.14
96900,-1.856,0,50,0.14
97000,-1.816,0,50,0.14
97100,-1.792,0,50,0.14
97200,-1.756,0,50,0.14
97300,-1.759,0,50,0.14
97400,-1.346,0,50,0.14
97500,-1.744,0,50,0.14
97600,-1.367,0,50,0.14
97700,-1.061,0,50,0.14
97800,-0.797,0,50,0.14
97900,-0.668,1,50,0.14
98000,-0.945,0,50,0.14
98100,-1.683,0,50,0.14
98200,-1.726,0,50,0.14
98300,-1.798,0,50,0.14
98400,-1.903,0,50,0.14
98500,-1.839,0,50,0.14
98600,-1.728,0,50,0.14
98700,-1.539,0,50,0.14
98800,-1.86,0,50,0.14
98900,-1.899,0,50,0.14
99000,-1.888,0,50,0.14
99100,-1.832,0,50,0.14
99200,-1.752,0,50,0.14
99300,-1.601,0,50,0.14
99400,-1.341,0,50,0.14
99500,-1.103,0,50,0.14
99600,-0.939,0,50,0.14
99700,-0.801,0,50,0.14
99800,-0.531,1,50,0.14
99900,-0.473,0,50,0.14
100000,-0.646,0,50,0.14
