"D","d18Oc","YEARMARKER","mean.day","se.day","mean.GR","se.GR","year","day_new","day_new_lower","day_new_upper"
34850,-1.521,0,1591.713824,26.61612304,31.53750311,2.826531459,7,2642.69263598483,2589.73554532818,2696.862349124
35050,-1.727,0,1597.961693,27.53147159,31.51572841,2.649257974,7,2658.99214392077,2605.96148795786,2712.99549256538
35250,-1.698,0,1607.540077,29.34559551,31.42499608,2.541567073,7,2675.30278850086,2622.20720667189,2729.08919598635
35450,-1.598,0,1618.634569,31.55956949,30.34149164,3.014491469,7,2692.25972799346,2638.81483770599,2745.75769690521
35650,-1.627,0,1634.253474,32.97543262,34.102809,3.442550134,7,2707.3647795565,2653.4773523485,2759.86203026884
35850,-1.661,0,1640.180168,33.48298804,33.93863779,3.526709243,7,2722.54951966848,2669.4751446312,2775.40624963245
36050,-1.705,0,1646.082792,34.63836286,35.5754596,3.753686828,7,2737.04717843636,2683.97877253915,2790.0832944372
36250,-1.77,0,1649.694466,35.89311708,35.98870256,3.947142441,7,2751.39396620791,2699.24752182252,2804.37498380671
36450,-1.707,0,1657.736869,36.3040779,36.66988884,3.924860965,7,2765.48579669431,2712.88122589368,2817.4812782563
36650,-1.557,0,1662.380871,37.65828177,35.25119077,3.895520923,7,2780.15429440341,2727.63319775225,2832.39278544451
36850,-1.496,0,1665.751707,39.18905875,34.22260377,3.837702071,7,2795.21011401676,2742.77724722991,2846.93418255997
37050,-1.547,0,1667.892368,40.72912044,35.79421637,3.823410893,7,2809.6232601897,2756.99437951379,2861.23802379189
37250,-1.5,0,1579.488118,40.00099498,31.31822817,4.008168113,7,2826.16352088791,2773.49421034329,2877.66846843973
37450,-1.49,0,1600.412176,40.42517137,31.29663955,4.314568362,7,2842.70890995964,2791.53136265677,2894.74758552967
37650,-1.183,0,1626.481896,40.68998516,26.63771001,3.667493189,7,2862.28419947679,2812.1165002482,2914.02200828051
37850,-1.021,0,1665.380897,40.62275594,26.63759663,3.039072681,7,2881.67300115543,2832.17762209574,2932.90221797275
38050,-0.812,0,1525.779404,38.87432778,20.75024922,2.274561136,7,2906.52552457971,2857.84707459353,2957.43165335083
38250,-0.567,1,1529.150351,36.08297361,16.04234668,1.758221227,8,2935.21015947354,2885.81427291736,2986.20398646501
38450,-0.854,0,1562.784858,39.43208747,26.84688599,2.300876627,8,2952.25048796014,2902.6592929267,3003.0748608206
38650,-1.376,0,1601.134714,40.33079116,28.56300891,2.741529856,8,2968.31648078556,2918.26294873508,3019.28041896302
38850,-1.407,0,1631.940281,38.64419161,28.55730149,2.34274938,8,2984.29404209289,2934.32035662114,3034.90005343503
39050,-1.671,0,1653.691548,37.16559767,28.55826907,2.574642836,8,3000.31027972066,2949.92087439104,3050.93904029215
39250,-1.669,0,1653.896494,35.00104473,28.55733693,2.54859439,8,3016.31488534218,2966.3311194021,3067.45224121347
39450,-1.539,0,1658.610897,31.37175847,28.55621342,2.805352563,8,3032.37846359256,2982.79989753536,3084.27512440223
