"","D","mean.SST","sd.SST","N","se.SST","CL95.SST"
"27",5200,19.1638843643115,1.00965445509511,10,0.319280772783676,0.57868398793168
"28",5400,18.7323732593,0.623214952243675,10,0.197077872096308,0.357195981341009
"29",5600,20.0939067431556,2.08306844591457,10,0.658724081111732,1.19391178767486
"30",5800,22.0630322028278,0.604287706971641,10,0.19109255160708,0.346347820646716
"31",6000,22.6231304060459,0.36116942514872,10,0.114211800468365,0.207004448115236
"32",6200,22.6389276630749,0.556322613187796,10,0.175924657153026,0.318856601633833
"33",6400,22.2719177849707,0.836507158919153,10,0.264526790122096,0.479444523038462
"34",6600,21.6795108282828,0.490677362245745,10,0.155165806098007,0.281231991142372
"35",6800,20.7283468840799,0.654517173875265,10,0.206976503714229,0.375136866317527
"36",7000,19.3573097820367,0.499520027105783,10,0.157962102252332,0.286300169209954
"37",7200,17.2417289027878,0.32099098659046,10,0.101506262601042,0.183976154686301
"38",7400,20.1356835069263,1.01406135473209,10,0.320674356810936,0.581209804802461
"39",7600,21.5653737088721,0.751496249151501,10,0.237643980039212,0.430720474891306
"40",7800,21.5435198275261,0.621263294568409,10,0.196460703749629,0.356077387706424
"41",8000,21.9234196400408,0.302082042487219,10,0.0955267294495367,0.173138483316635
"42",8200,21.9459222833267,0.402848286821328,10,0.127391813785219,0.230892709850174
"43",8400,21.7010833976361,1.54140585067639,10,0.487435328684679,0.883457583125911
"44",8600,21.3825117195683,0.799543333972921,10,0.252837802335911,0.458258687110982
"45",8800,18.1967206590203,0.595676330894303,10,0.188369395387812,0.34141220586795
"46",9000,19.4474447020091,0.455857829120599,10,0.144154902924092,0.261275157212609
"47",9200,19.4477071306165,0.524034582989982,10,0.165714285494487,0.300350699953273
"48",9400,21.8325796651656,0.737739435594707,10,0.233293693620637,0.422835749884543
"49",9600,22.2967828403648,0.441185379092174,10,0.13951506682961,0.252865634675141
"50",9800,22.436954676997,0.177689160923609,10,0.0561902464042792,0.101842637088965
"51",10000,22.2208322381991,0.801926297972537,10,0.253591361718008,0.459624484194763
"52",10200,21.6462786429437,0.67242089683087,10,0.212638158027865,0.38539839465179
"53",10400,20.5876045565397,1.3973328720944,10,0.441875452524304,0.800882078825117
"54",10600,18.0864006479639,0.604115889091543,10,0.191038218022695,0.346249343137355
"55",10800,17.8381184751409,0.281843193820842,10,0.0891266435490155,0.161538576439285
"56",11000,19.1172649795749,1.60618498554014,10,0.507920289787145,0.92058577872644
"57",11200,22.0894382065652,0.956578034524418,10,0.302496534878434,0.548263209252408
"58",11400,22.7415508296439,0.267829318555209,10,0.0846950670805258,0.15350651637738
"59",11600,22.8580619599568,0.314924352949521,10,0.0995878245975251,0.180499060388403
"60",11800,22.5680901467081,0.6010730503518,10,0.190075987925676,0.344505338495309
"61",12000,21.6749399107046,0.490208229227114,11,0.147803342317352,0.265437778621449
"62",12200,20.6157802688386,0.512906590747158,11,0.154647155818972,0.277728479391051
"63",12400,19.3891526742113,0.604266581817695,11,0.182193229567262,0.327198055050507
"64",12600,19.35237183932,0.655503659386833,11,0.197641789717368,0.354941889694919
"65",12800,19.2891907003854,0.482190126033851,11,0.145385793242588,0.261096138939608
"66",13000,18.8722342955504,0.490087889894175,11,0.147767058643272,0.265372617322002
"67",13200,20.5884721524596,1.02545677940389,10,0.324277906497715,0.587741098513868
"68",13400,20.9883022078752,0.581708666574321,10,0.183952432103431,0.333406631634123
"69",13600,20.988359890599,0.529687632702795,10,0.167501936776352,0.303590748402797
"70",13800,20.9888643983741,0.303498494739895,10,0.09597465098107,0.173950323678609
"71",14000,20.9885027939419,0.280629807604058,10,0.0887429371363663,0.160843123483784
"72",14200,20.444136353926,0.730274153476478,10,0.230932964133704,0.418557019468002
"73",14400,19.1975720388135,1.12511499007741,10,0.355792599824236,0.64486025496552
"74",14600,17.3448265901633,1.25976521042271,10,0.398372738197707,0.722035100371377
"75",14800,21.0184022062487,1.20834341797027,10,0.38211173964589,0.692562672678112
"76",15000,19.7838566948693,1.39544559804798,10,0.441278644068742,0.799800386701645
