"","Depth","Yearmarker","YEsin","YEweight","YEcount","YE18O","YEcombined","peakid"
"25",4800,0,0.0909575623447458,0,0.785714285714286,0,0.186102340879586,0
"26",5000,0,0.422282432249181,0,0.642857142857143,0,0.244655296072757,0
"27",5200,0,0.736478098021286,0,0.571428571428572,0,0.320077921580975,0
"28",5400,1,0.943624288483288,0.0454545454545455,0.571428571428572,0.883022221559489,0.672892067467843,1
"29",5600,0,0.528516130986718,0,0.571428571428572,0.586824088833465,0.437782407063063,0
"30",5800,0,0.139878161172842,0,0.571428571428572,0.25,0.212396617783269,0
"31",6000,0,0.0190116626975791,0,0.571428571428572,0.0301536896070459,0.106544320713894,0
"32",6200,0,0.0299235433818784,0,0.571428571428572,0,0.100566295757895,0
"33",6400,0,0.0633679447161876,0,0.214285714285714,0,0,0
"34",6600,0,0.139389013738036,0,0.285714285714286,0,0.0458094991954566,0
"35",6800,0,0.302094675596476,0,0.642857142857143,0,0.207315490259279,0
"36",7000,0,0.55816919031452,0,0.642857142857143,0,0.286872451131609,0
"37",7200,1,0.935170072315814,0.5,0.642857142857143,0.853553390593274,0.82451923220173,1
"38",7400,0,0.407855131981935,0,0.714285714285714,0.5,0.417703865097331,0
"39",7600,0,0.149209231338808,0,0.714285714285714,0.146446609406726,0.227506433257657,0
"40",7800,0,0.118594482469347,0,0.785714285714286,0,0.194688550153108,0
"41",8000,0,0.0567408122518567,0,0.785714285714286,0,0.175471916952724,0
"42",8200,0,0.0157636425341599,0,0.857142857142857,0,0.184932526404966,0
"43",8400,0,0.0373221285923352,0,0.642857142857143,0,0.125056233865611,0
"44",8600,0,0.165773206547549,0,0.642857142857143,0,0.16496327964931,0
"45",8800,1,0.930531891443223,0.227272727272727,0.642857142857143,0,0.473166555281419,1
"46",9000,0,0.621102050892456,0,0.571428571428572,0,0.284233012621022,0
"47",9200,0,0.393201402421521,0,0.571428571428572,0,0.21342907887875,0
"48",9400,0,0.113207905510237,0,0.5,0,0.104249640341608,0
"49",9600,0,0.01532674113483,0,0.5,0.0954915028125263,0.103507222800895,0
"50",9800,0,0,0,0.142857142857143,0.345491502812526,0.0654584968315964,0
"51",10000,0,0.0729277308912474,0,0,0.654508497187474,0.139737975442424,0
