"","D","d18Oc","YEARMARKER","D_err","d18Oc_err","window 1","window 2","window 3","window 4","window 5","window 6","window 7","window 8","window 9","window 10","window 11","window 12","window 13","window 14","window 15","window 16","window 17","window 18","window 19","window 20","window 21","window 22","window 23","window 24","window 25","window 26","window 27","window 28","window 29","window 30","window 31","window 32","window 33","window 34","window 35","window 36","window 37","window 38","window 39","window 40","window 41","window 42","window 43","window 44","window 45","window 46","window 47","window 48","window 49","window 50","window 51","window 52","window 53","window 54","window 55","window 56","window 57","window 58","window 59","window 60","window 61","window 62","window 63","window 64","window 65","window 66","window 67","window 68","window 69","window 70","window 71","window 72","window 73","window 74","window 75","window 76","window 77","window 78","window 79","window 80","window 81","window 82","window 83","window 84","window 85","window 86","window 87","window 88","window 89","window 90","window 91","window 92","window 93"
"sample 23",4400,-1.15,0,100,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,829.412952075611,800.324109207995,812.093585496041,798.625801929873,802.282711351344,811.717846035998,857.026585588048,800.783194997508,826.294560900534,826.498160053595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sample 24",4600,-1.73,0,100,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860.869852750466,872.57025429669,845.722211256948,851.013977279044,860.003563586772,888.499269530656,865.458079266359,884.142968001163,884.077435401965,910.366930422986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sample 25",4800,-1.82,0,100,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925.907964989291,973.036102850557,965.575867517908,953.905993427312,923.396981770777,930.47351664797,938.142006796044,934.883661828527,959.427051558364,949.937118663774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sample 26",5000,-1.27,0,100,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017.44596485522,1013.96804557832,1007.99983053901,964.586413429368,992.075208624697,989.63570115632,981.362175765287,1015.08576617799,979.029618570546,982.447639491069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sample 27",5200,-0.94,0,100,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049.21563697531,1048.16459535702,1019.33255251224,1050.22268827272,1040.39071437668,1025.80698965508,1075.28447611677,1015.45122478863,1007.97484377789,1011.56029769457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sample 28",5400,-0.49,1,100,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1081.75149142781,1118.73327929726,1106.59884959283,1106.88556455838,1103.44294025845,1121.82756406234,1068.47030342435,1043.19196427405,1045.03210959746,1123.62288491289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sample 29",5600,-1.08,0,100,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178.773010973,1164.97249064077,1170.92043905822,1177.82449257913,1161.43323967182,1188.88567601324,1195.73343669243,1194.84472007792,1196.2236279193,1198.60594096008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sample 30",5800,-1.61,0,100,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229.58997770024,1230.29278831926,1238.45740074822,1202.29561454308,1228.71068533322,1240.08901592973,1242.95312963393,1232.74338928113,1240.85333011149,1249.9891662696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sample 31",6000,-1.71,0,100,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1285.43888336398,1290.45287170102,1245.56538949424,1254.40199668426,1263.80947971212,1264.92686413874,1260.79403643409,1262.97306890152,1269.9485787928,1253.85532182334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sample 32",6200,-1.53,0,100,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1337.56612018613,1292.57971449027,1279.67298546649,1284.32992791112,1284.5308817999,1285.16073475598,1282.74718913138,1289.11552654188,1273.91716623943,1249.07805801927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
