D,d18Oc,YEARMARKER,D_err,d18Oc_err
32750,-1.695,0,75,0.14
32900,-1.651,0,75,0.14
33050,-1.67,0,75,0.14
33200,-1.598,0,75,0.14
33350,-1.507,0,75,0.14
33500,-1.677,0,75,0.14
33650,-1.687,0,75,0.14
33800,-1.531,0,75,0.14
33950,-1.673,0,75,0.14
34100,-1.442,0,75,0.14
34250,-0.734,0,75,0.14
34400,-0.405,0,75,0.14
34550,-0.327,1,75,0.14
34700,-0.758,0,75,0.14
34850,-0.919,0,75,0.14
35000,-1.044,0,75,0.14
35150,-1.121,0,75,0.14
35300,-1.215,0,75,0.14
35450,-1.35,0,75,0.14
35600,-1.51,0,75,0.14
35750,-1.313,0,75,0.14
35900,-1.53,0,75,0.14
36050,-1.531,0,75,0.14
36200,-1.854,0,75,0.14
36350,-1.547,0,75,0.14
36500,-1.495,0,75,0.14
36650,-1.374,0,75,0.14
36800,-1.192,0,75,0.14
36950,-0.802,0,75,0.14
37100,-0.42,0,75,0.14
37250,-0.357,1,75,0.14
37400,-0.694,0,75,0.14
37550,-0.866,0,75,0.14
37700,-0.966,0,75,0.14
37850,-1.244,0,75,0.14
38000,-1.173,0,75,0.14
38150,-1.376,0,75,0.14
38300,-1.519,0,75,0.14
38450,-1.672,0,75,0.14
38600,-1.67,0,75,0.14
38750,-1.675,0,75,0.14
38900,-1.713,0,75,0.14
39050,-1.57,0,75,0.14
39200,-1.409,0,75,0.14
39350,-1.382,0,75,0.14
39500,-1.296,0,75,0.14
39650,-1.834,0,75,0.14
39800,-1.426,0,75,0.14
39950,-1.148,0,75,0.14
40100,-1.688,0,75,0.14
40250,-0.305,0,75,0.14
40400,-0.483,0,75,0.14
40550,-0.346,1,75,0.14
40700,-0.728,0,75,0.14
40850,-0.934,0,75,0.14
41000,-1.112,0,75,0.14
41150,-1.232,0,75,0.14
41300,-1.518,0,75,0.14
41450,-1.602,0,75,0.14
41600,-1.631,0,75,0.14
41750,-1.436,0,75,0.14
41900,-1.532,0,75,0.14
42050,-1.453,0,75,0.14
42200,-1.489,0,75,0.14
42350,-1.558,0,75,0.14
42500,-1.722,0,75,0.14
42650,-1.608,0,75,0.14
42800,-1.732,0,75,0.14
42950,-1.559,0,75,0.14
43100,-1.36,0,75,0.14
43250,-0.924,0,75,0.14
43400,-0.507,1,75,0.14
43550,-0.549,0,75,0.14
43700,-0.614,0,75,0.14
43850,-0.779,0,75,0.14
44000,-0.917,0,75,0.14
44150,-1.299,0,75,0.14
44300,-1.49,0,75,0.14
44450,-1.615,0,75,0.14
44600,-1.591,0,75,0.14
44750,-1.695,0,75,0.14
44900,-1.716,0,75,0.14
45050,-1.688,0,75,0.14
45200,-1.565,0,75,0.14
45350,-1.606,0,75,0.14
45500,-1.535,0,75,0.14
45650,-1.415,0,75,0.14
45800,-1.431,0,75,0.14
45950,-1.452,0,75,0.14
46100,-1.474,0,75,0.14
46250,-1.189,0,75,0.14
46400,-1.283,0,75,0.14
46550,-1.113,0,75,0.14
46700,-0.932,0,75,0.14
46850,-0.865,0,75,0.14
47000,-0.814,1,75,0.14
47150,-0.861,0,75,0.14
47300,-0.985,0,75,0.14
47450,-1.005,0,75,0.14
47600,-1.022,0,75,0.14
47750,-0.957,0,75,0.14
47900,-1.179,0,75,0.14
48050,-1.276,0,75,0.14
48200,-1.34,0,75,0.14
48350,-1.349,0,75,0.14
48500,-1.479,0,75,0.14
48650,-1.612,0,75,0.14
48800,-1.602,0,75,0.14
48950,-1.686,0,75,0.14
49100,-1.652,0,75,0.14
49250,-1.635,0,75,0.14
49400,-1.434,0,75,0.14
49550,-1.113,0,75,0.14
49700,-0.45,0,75,0.14
49850,-0.279,1,75,0.14
50000,-0.637,0,75,0.14
50150,-0.875,0,75,0.14
50300,-1.051,0,75,0.14
50450,-1.212,0,75,0.14
50600,-1.341,0,75,0.14
50750,-1.539,0,75,0.14
50900,-1.695,0,75,0.14
51050,-1.732,0,75,0.14
51200,-1.636,0,75,0.14
51350,-1.594,0,75,0.14
51500,-1.499,0,75,0.14
51650,-1.511,0,75,0.14
51800,-1.489,0,75,0.14
51950,-1.558,0,75,0.14
52100,-1.572,0,75,0.14
52250,-1.492,0,75,0.14
52400,-1.455,0,75,0.14
52550,-1.384,0,75,0.14
52700,-1.143,0,75,0.14
52850,-0.75,0,75,0.14
53000,-0.575,0,75,0.14
53150,-0.373,1,75,0.14
53300,-0.693,0,75,0.14
53450,-1.066,0,75,0.14
53600,-1.372,0,75,0.14
53750,-1.599,0,75,0.14
53900,-1.696,0,75,0.14
54050,-1.675,0,75,0.14
54200,-1.727,0,75,0.14
54350,-1.697,0,75,0.14
54500,-1.779,0,75,0.14
54650,-1.742,0,75,0.14
54800,-1.781,0,75,0.14
54950,-1.835,0,75,0.14
55100,-1.739,0,75,0.14
55250,-1.788,0,75,0.14
55400,-1.637,0,75,0.14
55550,-1.531,0,75,0.14
55700,-1.294,0,75,0.14
55850,-1.058,0,75,0.14
56000,-0.675,0,75,0.14
56150,-0.537,1,75,0.14
56300,-0.661,0,75,0.14
56450,-0.934,0,75,0.14
56600,-1.265,0,75,0.14
56750,-1.396,0,75,0.14
56900,-1.384,0,75,0.14
57050,-1.551,0,75,0.14
57200,-1.53,0,75,0.14
57350,-1.68,0,75,0.14
57500,-1.73,0,75,0.14
57650,-1.769,0,75,0.14
57800,-1.696,0,75,0.14
57950,-1.752,0,75,0.14
58100,-1.637,0,75,0.14
58250,-1.656,0,75,0.14
58400,-1.685,0,75,0.14
58550,-1.685,0,75,0.14
58700,-1.729,0,75,0.14
58850,-1.738,0,75,0.14
59000,-1.746,0,75,0.14
59150,-1.327,0,100,0.14
59350,-0.665,0,100,0.14
59550,-0.43,1,100,0.14
59750,-0.687,0,100,0.14
59950,-0.701,0,100,0.14
60150,-1.075,0,100,0.14
60350,-1.34,0,100,0.14
60550,-1.454,0,100,0.14
60750,-1.576,0,100,0.14
60950,-1.587,0,100,0.14
61150,-1.615,0,100,0.14
61350,-1.658,0,100,0.14
61550,-1.607,0,100,0.14
61750,-1.715,0,100,0.14
61950,-1.608,0,100,0.14
62150,-1.505,0,100,0.14
62350,-1.505,0,100,0.14
62550,-1.149,0,100,0.14
62750,-0.606,0,100,0.14
62950,-0.332,1,100,0.14
63150,-0.523,0,100,0.14
63350,-0.721,0,100,0.14
63550,-1.031,0,100,0.14
63750,-1.137,0,100,0.14
63950,-1.255,0,100,0.14
64150,-1.185,0,100,0.14
64350,-1.594,0,100,0.14
64550,-1.613,0,100,0.14
64750,-1.657,0,100,0.14
64950,-1.625,0,100,0.14
65150,-1.704,0,100,0.14
65350,-1.574,0,100,0.14
65550,-1.534,0,100,0.14
65750,-1.498,0,100,0.14
65950,-1.552,0,100,0.14
66150,-1.121,0,100,0.14
66350,-0.953,0,100,0.14
66550,-0.515,0,100,0.14
66750,-0.374,1,100,0.14
66950,-0.516,0,100,0.14
67150,-0.662,0,100,0.14
67350,-1.004,0,100,0.14
67550,-1.189,0,100,0.14
67750,-1.309,0,100,0.14
67950,-1.404,0,100,0.14
68150,-1.54,0,100,0.14
68350,-1.53,0,100,0.14
68550,-1.572,0,100,0.14
68750,-1.687,0,100,0.14
68950,-1.577,0,200,0.14
69350,-1.464,0,100,0.14
69550,-1.261,0,100,0.14
69750,-1.429,0,100,0.14
69950,-1.764,0,100,0.14
70150,-1.747,0,100,0.14
70350,-1.74,0,100,0.14
70550,-1.819,0,100,0.14
70750,-1.749,0,100,0.14
70950,-1.55,0,100,0.14
71150,-1.268,0,100,0.14
71350,-0.783,0,100,0.14
71550,-0.589,1,100,0.14
71750,-0.632,0,100,0.14
71950,-0.891,0,100,0.14
72150,-1.172,0,200,0.14
72550,-1.306,0,100,0.14
72750,-1.435,0,100,0.14
72950,-1.522,0,100,0.14
73150,-1.718,0,100,0.14
73350,-1.686,0,100,0.14
73550,-1.668,0,100,0.14
73750,-1.773,0,100,0.14
73950,-1.706,0,100,0.14
74150,-1.704,0,100,0.14
74350,-1.72,0,200,0.14
74750,-1.28,0,100,0.14
74950,-1.537,0,100,0.14
75150,-1.521,0,100,0.14
75350,-1.503,0,100,0.14
75550,-1.519,0,100,0.14
75750,-1.487,0,100,0.14
75950,-1.066,0,100,0.14
76150,-0.826,0,100,0.14
76350,-0.668,0,100,0.14
76550,-0.601,1,100,0.14
76750,-0.655,0,100,0.14
76950,-0.732,0,100,0.14
77150,-1.001,0,100,0.14
77350,-1.28,0,100,0.14
77550,-1.266,0,100,0.14
77750,-1.352,0,100,0.14
77950,-1.39,0,100,0.14
78150,-1.539,0,100,0.14
78350,-1.651,0,100,0.14
78550,-1.735,0,100,0.14
78750,-1.716,0,100,0.14
78950,-1.667,0,100,0.14
79150,-1.629,0,100,0.14
79350,-1.607,0,100,0.14
79550,-1.539,0,100,0.14
79750,-1.669,0,100,0.14
79950,-1.671,0,100,0.14
80150,-1.407,0,100,0.14
80350,-1.376,0,100,0.14
80550,-0.854,0,100,0.14
80750,-0.567,1,100,0.14
