"","D","mean.day","sd.day","N","se.day","CL95.day"
"141",14200000,1666.22748489805,93.6976626403398,19,21.4957180365899,37.1689513642792
"142",14300000,1289.10410798514,75.614683055041,19,17.3471980044622,29.9956092574736
"143",14400000,1286.48270147261,74.1202567390377,19,17.0043530944608,29.4027848743271
"144",14500000,1287.43850214241,71.0648673174508,19,16.3033986880471,28.1907416108166
"145",14600000,1291.06210105654,65.9302596407958,19,15.1254388997698,26.1538926902537
"146",14700000,1296.21569264724,57.4272426934993,19,13.174713026692,22.7808285768311
"147",14800000,1302.59347786165,57.8932035785735,19,13.2816117850963,22.9656707274989
"148",14900000,1308.54982659517,54.981174632523,19,12.6135465273858,21.8104971701542
"149",1.5e+07,1317.36704883566,53.5702685663949,19,12.2898624768026,21.2508044577246
"150",15100000,1323.43342706119,51.9724695177251,19,11.9233022354743,20.6169731170447
"151",15200000,1327.87294947433,48.0682678942738,18,11.3297993959775,19.646592802842
"152",15300000,1333.52148064763,53.726496236287,18,12.663456606024,21.9592392344867
"153",15400000,1345.71617155308,51.2084481700873,18,12.0699469850362,20.9300558005544
"154",15500000,1364.25737532771,51.5845625094078,18,12.1585979849812,21.0837822732492
"155",15600000,1431.00260868177,58.1214825689847,18,13.6993648190483,23.7555699664883
"156",15700000,1572.76385246692,57.6298923773398,18,13.5834958996893,23.5546458902898
"157",15800000,1599.67543706484,60.1158594965146,18,14.1694439689477,24.5707171125586
"158",15900000,1561.13896084727,69.1097348528876,18,16.2893207201604,28.2467182373511
"159",1.6e+07,1527.24666289135,90.4969375696365,18,21.3303327440352,36.9881537284739
"160",16100000,1546.4647728951,106.236981793556,18,25.0402967463384,43.421467286729
"161",16200000,1619.90179995174,120.264460889407,18,28.3466052768812,49.1548165817924
"162",16300000,1635.47793338652,135.898467420582,18,32.0315759553176,55.5447901267217
"163",16400000,1640.43564197724,146.548721816449,18,34.5418649902106,59.8977909842207
"164",16500000,1645.21259800652,154.326209132613,18,36.3750363308279,63.0766266906794
"165",16600000,1641.20326000893,156.514036304236,17,37.9602296220072,66.0358707737978
"166",16700000,1652.09226158887,151.257491544773,17,36.6853302532393,63.8180472568205
"167",16800000,1657.96258138424,146.104445374011,17,35.4355329793726,61.6438915129716
"168",16900000,1656.33310543997,137.660440697751,17,33.387561027406,58.0812257305174
"169",1.7e+07,1669.52197663541,136.243756312227,18,32.1129613275677,55.6859175388515
"170",17100000,1674.64126289666,133.713369004876,19,30.6759506785589,53.0427928429074
"171",17200000,1671.22284280972,115.728529312766,19,26.5499454820489,45.9083818771143
"172",17300000,1477.9329459549,94.7741376415036,19,21.7426783389752,37.5959785262769
"173",17400000,1620.36733425848,77.8621068203084,19,17.8627923768891,30.8871404042728
"174",17500000,1495.11718166339,63.6587268397175,19,14.6043135351994,25.2527977234589
"175",17600000,1448.62207078801,55.2607203458473,19,12.6776787123584,21.921390235465
"176",17700000,1422.33223833831,50.1108384173914,19,11.496214770395,19.8784821677866
"177",17800000,1548.67243815314,48.486780292523,19,11.1236302838299,19.234234107003
"178",17900000,1566.43574524329,60.9198441100625,18,14.3589449596842,24.8993238840127
"179",1.8e+07,1569.19863472068,67.1726530977519,18,15.832746171904,27.4549889295118
"180",18100000,1571.88445754482,71.6883059586783,18,16.8970957583858,29.3006388121484
"181",18200000,1575.48005574824,73.230179770907,18,17.2605189011728,29.9308376578578
"182",18300000,1577.93292247389,77.3006386698371,18,18.2199352644976,31.5945266570928
