"","D","mean.d18O_mod","sd.d18O_mod","N","se.d18O_mod","CL95.d18O_mod"
"294",30800000,-1.71981933048071,0.194375672985077,17,0.0471430253392935,0.0820103239677626
"295",30950000,-1.643709865325,0.22725486643611,17,0.0551174010736303,0.0958826016314647
"296",31100000,-1.55079158403201,0.296268260457398,17,0.0718556077284622,0.125000498510645
"297",31250000,-1.41058281876267,0.323192718681476,18,0.0761772543365958,0.132096204397139
"298",31400000,-1.23355347775356,0.386490686620845,18,0.0910967284583481,0.157967521501542
"299",31550000,-0.969160836194679,0.352466365500421,18,0.0830771190618412,0.144061008707771
"300",31700000,-0.138468184354337,0.26038096159534,18,0.0613723812119796,0.106423612711152
"301",31850000,-0.551689092860837,0.252275334086184,18,0.0594618664861474,0.103110658655179
"302",3.2e+07,-0.879626975769365,0.297542450302658,18,0.0701314280999569,0.12161235714825
"303",32150000,-1.22380487197608,0.320253467663024,18,0.075484466227677,0.130894865750365
"304",32300000,-1.2522645761277,0.258181741379909,18,0.0608540200360951,0.105524741460967
"305",32450000,-1.34405324486981,0.23881348556759,18,0.0562888783612128,0.0976084954235006
"306",32600000,-1.4153366554241,0.269709224543162,18,0.0635710738743449,0.110236285639097
"307",32750000,-1.48173814661367,0.191414750924807,18,0.0451168894660218,0.0782355560668145
"308",32900000,-1.53611950868827,0.14568182829606,18,0.0343375362279328,0.0595434719137695
"309",33050000,-1.57370630401454,0.133243874322388,18,0.0314058823616428,0.0544597976370365
"310",33200000,-1.60401713422475,0.124184163628056,19,0.0284898010338324,0.0492626497613151
"311",33350000,-1.62866353063914,0.164416705367575,19,0.0377197791224822,0.0652225077240227
"312",33500000,-1.65092386136773,0.260028495379953,19,0.0596546280948499,0.103150774797909
"313",33650000,-1.67052350166928,0.247046578891454,19,0.0566763721965945,0.0980009748031291
"314",33800000,-1.73537770255852,0.316040515697125,19,0.0725046668414866,0.12537019842404
"315",33950000,-1.77562894879451,0.408671186343931,19,0.093755600126846,0.162115884443207
"316",34100000,-1.83923585151171,0.470750048555549,19,0.107997467858974,0.186741965236176
"317",34250000,-1.2558437589507,0.441916739658081,19,0.101382653138345,0.175304072060602
"318",34400000,-0.459804379673487,0.37857619073497,19,0.0868513346233849,0.150177492421717
"319",34550000,-0.721184819415303,0.201666114764327,19,0.0462653797154831,0.079998986103537
"320",34700000,-0.697408388881543,0.253121302080698,19,0.0580700092751154,0.100410758402952
"321",34850000,-0.852481019617872,0.214466692997406,19,0.0492020337647924,0.0850768509762848
"322",3.5e+07,-0.926787236238421,0.223334627734069,19,0.0512364775203202,0.0885946744271626
"323",35150000,-1.35235179521275,0.221878750957332,19,0.05090247648116,0.0880171422712685
"324",35300000,-1.43005857493278,0.161844565979292,19,0.0371296898771018,0.0642021650481095
"325",35450000,-1.44222154072025,0.154866823708228,19,0.0355288860132261,0.0614341625622719
"326",35600000,-1.35304294215864,0.189252400740798,19,0.0434174784027159,0.0750745864996565
"327",35750000,-1.28422178841469,0.234649929168996,19,0.0538323857029805,0.0930833444414974
"328",35900000,-1.53564886451173,0.203325999572218,18,0.0479243976963494,0.0831039539143049
"329",36050000,-1.59215264068788,0.170934486428682,18,0.040289644830787,0.0698648068246141
"330",36200000,-1.66151931476014,0.27724035975043,18,0.0653461794660424,0.113314431643562
"331",36350000,-1.65621939339807,0.278565402280897,18,0.0656584949855937,0.113856006619798
"332",36500000,-1.45592183165542,0.27667995326102,18,0.0652140903897481,0.113085380783529
"333",36650000,-1.41425106979115,0.278107855142341,18,0.0655506500907984,0.113668996712574
"334",36800000,-1.40358212645666,0.360827401107465,18,0.0850478340536689,0.147478353854115
"335",36950000,-0.84648857311852,0.376161407810432,17,0.09123254215785,0.158708743974723
"336",37100000,-0.807838434342371,0.319458911247929,17,0.0774801667129429,0.134785019151253
"337",37250000,-0.790111103292656,0.219102205856855,17,0.0531400904443317,0.0924428587611971
"338",37400000,-0.823832650116337,0.2445125721195,17,0.0593030095082445,0.103163914217036
"339",37550000,-0.865888473187685,0.272565200596106,17,0.06610677128973,0.114999783974721
"340",37700000,-0.812794822409677,0.328493606488142,18,0.0774266855747303,0.134262797636159
"341",37850000,-0.843726060654782,0.325995607587923,19,0.074788521553363,0.129319286543093
"342",3.8e+07,-0.846520927696518,0.279201435332515,19,0.0640532021845231,0.110756493580271
"343",38150000,-1.30489598702987,0.307808071640236,19,0.0706160146466272,0.122104467944357
"344",38300000,-1.35898533473877,0.291863493081575,19,0.0669580774553351,0.115779408724409
"345",38450000,-1.41880341533817,0.283031564593316,20,0.0632877818208777,0.109153591860458
"346",38600000,-1.48717551553868,0.239153910900029,20,0.0534764401857393,0.0922317919548069
"347",38750000,-1.58977747140835,0.201960515905618,20,0.045159744233589,0.0778878347253077
"348",38900000,-1.54289916072714,0.182261839238938,20,0.0407549862242404,0.0702908682309328
"349",39050000,-1.55131478705583,0.175767642235195,20,0.039302839628276,0.0677863245054776
"350",39200000,-1.5244198749383,0.184271649144262,20,0.0412043933812561,0.0710659689531369
"351",39350000,-1.46298670351228,0.176430296673226,21,0.0385002471137416,0.0662490269774743
"352",39500000,-1.44487065349477,0.194595236833818,21,0.042464162031849,0.0730699054401578
"353",39650000,-1.39555052659719,0.232802420163835,21,0.0508016529699851,0.0874165837992139
"354",39800000,-1.32640154326313,0.236924610921681,21,0.0517011887403126,0.0889644535918302
"355",39950000,-1.19163533025869,0.283626726977894,21,0.0618924259756558,0.106500952735419
"356",40100000,-1.08348375891032,0.418304852862711,22,0.0891828942853581,0.153139905213051
"357",40250000,-0.909827675234098,0.35351643825721,22,0.075369957879921,0.129421099170782
"358",40400000,-0.708137608011358,0.298253578862096,22,0.0635878766690233,0.109189564700998
"359",40550000,-0.567361544415965,0.231197899336052,22,0.0492915577583585,0.0846407211092041
"360",40700000,-0.852856637473679,0.237349747802401,22,0.0506031362582953,0.0868928907519287
"361",40850000,-0.969572240165541,0.283879550556454,22,0.0605233235373447,0.103927284530947
"362",4.1e+07,-1.45326151540995,0.274285468665641,21,0.0598539962946066,0.102993339328873
"363",41150000,-1.45271681572506,0.301874735771711,21,0.0658744679556504,0.113353023211194
"364",41300000,-1.27254345056968,0.328723185123514,21,0.0717332799293088,0.123434532333776
"365",41450000,-1.37691369401993,0.318662519735317,21,0.0695378627539261,0.119656783810525
"366",41600000,-1.50420293254905,0.219001520858466,21,0.0477900498402081,0.0822343890875641
"367",41750000,-1.59228016808263,0.140229369598351,21,0.0306005571828754,0.0526556915945218
"368",41900000,-1.63016287889757,0.119375985801727,20,0.0266932819133711,0.0460383902794187
"369",42050000,-1.6519194946656,0.100847871230393,20,0.0225502695457304,0.0388928612683023
"370",42200000,-1.65188888254383,0.107437743473928,20,0.0240238097756888,0.0414343029845892
"371",42350000,-1.64220868582452,0.155507529282383,20,0.0347725406488447,0.0599728352097671
"372",42500000,-1.63441448018622,0.189709168089839,20,0.0424202595803814,0.0731629955677191
"373",42650000,-1.66726230212098,0.188318206312817,20,0.0421092310716289,0.0726265590246051
"374",42800000,-1.69196408613254,0.234579789194533,20,0.0524536354786546,0.0904677420175527
"375",42950000,-1.71270018159639,0.249032030851704,19,0.0571318661151202,0.0987885842831002
"376",43100000,-0.841619259043209,0.352928326080825,19,0.0809673109315415,0.140003233992381
"377",43250000,-1.17583448197819,0.33455715113698,19,0.0767526743497348,0.132715567590141
"378",43400000,-0.835553941233728,0.270355657649926,19,0.0620238416058162,0.107247459617221
"379",43550000,-0.746434898123727,0.147818712674438,19,0.0339119384480079,0.0586382454727435
"380",43700000,-0.799841980096562,0.133354796072109,20,0.0298190389142858,0.0514294404018336
"381",43850000,-0.759802034161296,0.202238378015821,20,0.0452218760902674,0.0779949946719875
"382",4.4e+07,-1.09278576485216,0.272068423724718,20,0.0608363489979687,0.104925560949492
"383",44150000,-1.23456855292089,0.28425631737247,20,0.0635616448678597,0.10962592845365
"384",44300000,-1.35159213726689,0.330160424011674,20,0.0738261151570257,0.127329247615293
"385",44450000,-1.44792195960289,0.271743725317346,21,0.0592993424236203,0.102038922616856
"386",44600000,-1.55713446878803,0.201013867692917,21,0.0438648221161252,0.075480081339428
"387",44750000,-1.62778969975552,0.141745765507943,21,0.030931461899029,0.0532250935363502
"388",44900000,-1.64759446373625,0.133749787007892,21,0.0291865963403755,0.0502226285099363
"389",45050000,-1.65152910319817,0.14368788058572,21,0.031355266153897,0.0539543517000958
"390",45200000,-1.62907765407081,0.161129989587081,22,0.0343530292063377,0.058989110844583
"391",45350000,-1.61604414446895,0.188543211419513,22,0.0401975477386275,0.0690249929632654
"392",45500000,-1.62355436837259,0.207299676844145,22,0.0441964396034582,0.0758916676327143
"393",45650000,-1.61844597791364,0.227797757686998,22,0.0485666451230696,0.0833959414556007
"394",45800000,-1.59931275466315,0.247944414245677,22,0.0528619267335506,0.0907715601094169
"395",45950000,-1.54544769988906,0.270556542762937,23,0.0564149389835217,0.0966879576634448
"396",46100000,-1.47460750737485,0.304389323276543,23,0.0634695613882378,0.108778674141894
"397",46250000,-1.25825120789621,0.26285811480022,23,0.0548097057877152,0.0939367941937577
"398",46400000,-1.17071986465527,0.306098164830702,23,0.0638258794836197,0.10938935758039
"399",46550000,-1.09036557199437,0.279854977584657,23,0.0583537966720205,0.100010910652116
"400",46700000,-0.918042806045446,0.236148491180319,24,0.048203608909993,0.0824706906710695
"401",46850000,-0.913551709495565,0.214339816057705,24,0.0437519317419484,0.0748543959787201
"402",4.7e+07,-0.908246646938109,0.174197216772149,24,0.0355578579753964,0.0608353020100703
"403",47150000,-0.933427612475947,0.142688151029778,24,0.0291260968636782,0.0498313171817732
"404",47300000,-0.937911766087228,0.119223792211748,23,0.024859879174695,0.0426066391007416
"405",47450000,-1.07129240363611,0.130239904867819,23,0.0271568974503625,0.0465434333221226
"406",47600000,-1.23431528768245,0.147226489945919,23,0.0306988452847531,0.0526138768682501
"407",47750000,-0.914325416026821,0.155356752544221,23,0.0323941222265683,0.0555193637504732
"408",47900000,-1.33986448268793,0.182151362852427,22,0.0388348010452882,0.0666849601450925
"409",48050000,-1.41000828514143,0.235554809624271,22,0.050220454152904,0.08623577032748
"410",48200000,-1.31240729381453,0.259627199026424,22,0.0553527048178342,0.0950485856846741
"411",48350000,-1.33561093366996,0.278919552168403,22,0.0594658483278895,0.102111446923984
"412",48500000,-1.35934323788226,0.270107890894226,21,0.0589423740870316,0.101424671885142
"413",48650000,-1.38281417691702,0.202613019759433,21,0.0442137857062468,0.0760805579604695
"414",48800000,-1.40801408260275,0.2341979514162,21,0.0511061828556347,0.0879406014386395
"415",48950000,-1.43431623865254,0.302940163379246,20,0.0677394798430887,0.11683151665134
