"","D","mean.GR","sd.GR","N","se.GR","CL95.GR"
"97",9800000,8625.30939189449,10292.5481331773,15,2657.5245006556,4658.77427113603
"98",9900000,6427.01669185969,10139.1197077777,15,2617.90945156176,4589.3270952313
"99",1e+07,4425.22870486305,6917.36638641983,15,1786.05632094793,3131.04666872474
"100",10100000,2328.50351495969,8021.48404419437,15,2071.13827433555,3630.80968851244
"101",10200000,5958.01204159343,14051.5339127792,15,3628.09045552416,6360.22526354146
"102",10300000,6447.11191962903,11047.6799084472,16,2761.91997711181,4821.99100322078
"103",10400000,7270.45674703459,11925.7508468153,15,3079.21562804897,5398.02005200538
"104",10500000,8000.95323891487,13068.6247207747,16,3267.15618019367,5704.07464284519
"105",10600000,10304.7056007655,14397.6248431457,16,3599.40621078643,6284.14454769937
"106",10700000,11369.2777599943,15786.0709587455,16,3946.51773968637,6890.16089985308
"107",10800000,12296.6654889649,15801.9829999667,16,3950.49574999166,6897.10604310915
"108",10900000,12899.198381317,15443.2473971746,17,3745.53766006447,6515.76250621564
"109",1.1e+07,13518.8009695912,14799.2254068268,17,3589.33938409831,6244.03893474358
"110",11100000,14270.4539167397,14528.2316921748,17,3523.61375413428,6129.70218678263
"111",11200000,14964.4277936503,13847.5509480728,17,3358.52442441329,5842.51167839677
"112",11300000,15235.3082882628,13594.1474663694,17,3297.06505259199,5735.59654179609
"113",11400000,14298.4698941337,13632.3011278933,17,3306.3186747371,5751.69420512027
"114",11500000,13804.727910601,13185.0033125349,18,3107.73508408685,5389.0103083235
"115",11600000,13816.7469845702,12865.1129693307,18,3032.33620711491,5258.26385978663
"116",11700000,13839.2651577539,14421.835221167,18,3399.25916068073,5894.53159999772
"117",11800000,13711.1737318635,14944.3165189918,18,3522.4091835924,6108.08157288298
"118",11900000,13355.4000916994,14877.8367004744,18,3506.73974009719,6080.90976118198
"119",1.2e+07,12944.6749419063,14346.5179960313,18,3381.50672046952,5863.74773949882
"120",12100000,13007.7348940312,15062.2386616149,18,3550.20369915937,6156.27903079123
"121",12200000,13091.9806966392,16256.1483389389,18,3831.6109088127,6644.25703169086
"122",12300000,13138.4135018083,18534.0483922057,17,4495.16701125726,7819.82276761391
"123",12400000,12053.1463576281,18847.4086476791,17,4571.16803668003,7952.03466262796
"124",12500000,13404.5825183495,18624.3185759563,18,4389.7939866791,7612.18199284875
"125",12600000,25494.756393129,18756.5402717157,18,4420.95893924291,7666.22400289161
"126",12700000,25323.2138971787,17950.5585113292,18,4230.98721648226,7336.80095216592
"127",12800000,15203.059074453,18116.6955930453,18,4270.14610217826,7404.70495072705
"128",12900000,13654.8454434974,17072.1672476572,18,4023.9484101231,6977.78249290097
"129",1.3e+07,13637.0155667201,16447.2780049044,18,3876.66060310941,6722.37606706002
